id	title	words	chars	text
3020778	Anarchism	10886	73547	anarch anarch anarch anarch anarch often defin polit philosophi hold state undesir unnecessari harm follow sourc cite anarch polit philosophi slevin carl anarch conci oxford dictionari polit ed iain mclean alistair mcmillan oxford univ press 2003 howev argu anti statism central inadequ defin anarch anarchist reject state see claim thi central aspect anarch definit sell anarch short anarch author philosoph introduct classic anarch paul mclaughlin ashgat 2007 pg 28 therefor argu instead anarch ent
2530149	Autism	4820	32152	autism autism autism autism autism disord neural develop charact impair social interact commun restrict repetit behavior diagnost criteria requir symptom becom appar befor child three year old autism affect inform process brain alter nerv cell synap connect organ thi occur well understood one three recogn disord autism spectrum asd two asperg syndrom lack delay cognit develop languag perva develop disord otherwi specifi commonli abbrevi pdd diagno full set criteria autism asperg syndrom met auti
10331763	Albedo	1475	9379	albedo albedo albedo albedo percentag diffu reflect sunlight relat variou surfac condit albedo reflect coeffici deriv latin albedo white reflect sunlight turn albu white diffu reflect reflect power surfac defin ratio reflect radiat surfac incid radiat upon dimensionless fraction may also express percentag measur scale zero reflect power perfectli black surfac 1 perfect reflect white surfac albedo depend frequenc radiat quot unqualifi usual refer appropri averag across spectrum visibl light gener
8627356	A	709	4531	name plural ae first letter vowel iso basic latin alphabet similar ancient greek letter alpha deriv origin earliest certain ancestor aleph also call aleph first letter phoenician alphabet consist entir conson abjad rather true alphabet turn origin aleph may pictogram ox head egyptian hieroglyph style triangular head 2 horn extend class wikit style background color eeeeee text align center egyptian phoenician aleph greek alpha etruscan roman cyril style background color white text align center eg
1741165	Alabama	7562	48449	alabama alabama alabama alabama alabama state locat southeastern region unit state border ten north georgia east florida gulf mexico south mississippi west alabama 30th exten 23rd popul 50 unit state alabama ha one longest navig inland waterway nation american civil war world war ii alabama like mani southern state suffer econom hardship part becau continu depend agricultur despit growth major industri urban center white rural interest domin state legislatur 1960 urban interest african american 
13286072	Achilles	3648	22033	achil achil achil achil achil nereid cymotho attic red figur volci cabinet de m daill biblioth que nation pari greek mytholog achil akhilleu wa greek hero trojan war central charact greatest warrior homer iliad achil wa demigod hi mother wa nymph theti hi father peleu wa king myrmidon achil notabl feat dure trojan war wa slay trojan hero hector outsid gate troy although death achil present iliad sourc concur wa kill near end trojan war pari shot heel arrow later legend begin poem statiu 1st cent
61906	Abraham Lincoln	10184	63285	abraham lincoln abraham lincoln abraham lincoln abraham lincoln abraham lincoln februari 12 1809 april 15 1865 wa 16th presid unit state serv march 1861 hi assassin april 1865 lincoln led unit state greatest constitut militari moral crise american civil war preserv union abolish slaveri strengthen nation govern modern economi rear poor famili western frontier lincoln wa self educ becam countri lawyer whig parti leader illinoi state legisl dure 1830 one term member unit state hou repr dure 1840 s
284729	Aristotle	6547	42812	aristotl aristotl aristotl aristotl aristotl aristot l 384 bc nbsp 322 bc undisput date first half olympiad year 384 3 322 shortli befor death demosthen correct wa shown alreadi august boeckh klein schriften vi 195 discuss see felix jacobi fgrhist 244 f 38 ingemar d ring aristotl ancient biograph tradit g teborg 1957 p 253 wa greek philosoph polymath student plato teacher alexand great hi write cover mani subject includ physic metaphi poetri theater music logic rhetor linguist polit govern ethic
33566	An American in Paris	872	5607	american pari american pari american pari american pari theme georg gershwin orchestr composit american pari american pari symphon tone poem american compo georg gershwin written 1928 inspir time gershwin spent pari evok sight energi french capit 1920 one gershwin best known composit gershwin compo american pari commiss new york philharmon score piec standard instrument symphoni orchestra plu celesta saxophon automobil horn brought back parisian taxi horn new york premier composit took place dec
10808929	Academy Award for Best Production Design	6070	37750	academi award best product design academi award best product design academi award best product design academi award best product design academi award oldest award ceremoni achiev motion pictur academi award best product design recogn achiev art direct film categori origin name wa best art direct wa chang current name 2012 85th academi award art director branch renam design branch film list product year oscar 2000 best art direct went film 1999 list winner award year shown first follow nomin supe
3412058	Academy Award	4393	26490	academi award academi award academi award academi award academi award offici known oscar set award given annual excel cinemat achiev oscar statuett offici name academi award merit one nine type academi award organ overseen academi motion pictur art scienc ampa award given year formal ceremoni ampa wa origin conceiv metro goldwyn mayer studio execut loui b mayer profess honorari organ help improv film industri imag help mediat labor disput award themselv later initi academi award merit distinct a
71061	International Atomic Time	843	5044	intern atom time intern atom time intern atom time intern atom time intern atom time tai french name temp atomiqu intern temp atomiqu 1975 high preci atom coordin http adsab harvard edu cgi bin nph bib queri bibcod 1986cemec 38 155g time standard base notion passag proper time earth geoid basi coordin univ time utc use civil timekeep earth surfac terrestri time use astronom calcul sinc 30 june 2012 last leap second wa ad tai ha exactli 35 second ahead utc 35 second result initi differ 10 second 
11016732	Altruism	4383	28443	altruism altruism altruism altruism give alm poor often consid altruist action mani cultur religion altruism selfless principl practic concern welfar tradit virtu mani cultur core aspect variou religi tradit though concept toward concern direct vari among cultur religion altruism selfless opposit selfish altruism distinguish feel duti loyalti altruism motiv provid someth valu parti must anyon one self duti focu moral oblig toward specif individu e g god king collect e g govern pure altruism cons
82429	Ayn Rand	4145	27353	ayn rand ayn rand ayn rand ayn rand ayn rand born alisa zinov yevna rosenbaum march 6 1982 wa russian american novelist philosoph playwright screenwrit known two best sell novel fountainhead atla shrug develop philosoph system call objectiv born educ russia rand move unit state 1926 work screenwrit hollywood play produc broadway 1935 1936 two earli novel initi less success achiev fame 1943 novel fountainhead 1957 publish best known work novel atla shrug afterward turn nonfict promot philosophi p
7304691	Alain Connes	331	2242	alain conn alain conn alain conn alain conn alain conn born 1 april 1947 french mathematician current professor coll ge de franc ih ohio state univ vanderbilt univ work alain conn one lead specialist oper algebra hi earli work von neumann algebra 1970 succeed obtain almost complet classif inject factor follow thi made contribut oper k theori index theori culmin baum conn conjectur also introduc cyclic cohomolog earli 1980 first step studi noncommut differenti geometri conn ha appli hi work area 
548069010	Allan Dwan	575	3567	allan dwan allan dwan allan dwan allan dwan allan dwan april 3 1885 decemb 28 1981 wa pioneer canadian born american motion pictur director produc screenwrit earli life born joseph aloysiu dwan toronto ontario canada dwan move hi famili unit state wa 11 nbsp year old univ notr dame train engin began work light compani chicago howev strong interest fledgl motion pictur industri essanay studio offer opportun becom scriptwrit took job time east coast movi maker began spend winter california climat 
13286072	Algeria	5580	35721	algeria algeria algeria algeria algeria offici peopl democrat republ algeria countri north africa mediterranean coast capit popul citi algier algeria semi presidenti republ consist 48 provinc 1541 commun popul exceed 37 million 34 th popul countri earth economi base oil resourc manufactur ha suffer call dutch disea sonatrach nation oil compani largest compani africa algeria ha second largest armi largest defen budget africa algeria peac nuclear program 1990 total area algeria tenth largest count
17774826	Anthropology	5156	36593	anthropolog anthropolog anthropolog anthropolog anthropolog scienc human anthropolog britannica onlin encyclopedia ha origin human natur scienc social scienc wolf eric 1994 peril idea race cultur peopl current anthropolog 35 1 7 p 227 term anthropolog greek anthr po man understood mean humankind human logia discour studi sinc work franz boa broni aw malinowski late 19th earli 20th centuri anthropolog ha distinguish social scienc emphasi depth examin context cross cultur comparison import place p
547764111	Agricultural science	1002	6925	agricultur scienc agricultur scienc agricultur scienc agricultur scienc agricultur scienc broad multidisciplinari field encompass part exact natur econom social scienc use practic understand agricultur veterinari scienc anim scienc often exclud definit agricultur agricultur scienc two term often confu howev cover differ concept muhammad awai arain ammi butt famou agricultur sceintist world agronomi research develop relat studi improv plant base agricultur agricultur scienc includ research develo
14592934	Alchemy	5474	36373	alchemi alchemi alchemi alchemi al ghaz l 1058 1111 alchemi influenti philosoph tradit whose earli practit claim profound power known antiqu defin object alchemi vari includ creation fabl philosoph stone possess power includ capabl turn base metal nobl metal gold silver well elixir life confer youth longev western alchemi recogn protosci contribut develop modern chemistri medicin alchemist develop framework theori terminolog experi process basic laboratori techniqu still recogniz today alchemi d
13975403	Astronomer	396	2732	astronom astronom astronom astronom astronom johann vermeer c 1668 astronom scientist studi celesti bodi moon planet star nebula galaxi physic chemistri evolut object phenomena origin outsid atmosph earth supernova explo gamma ray burst cosmic background radiat relat distinct subject cosmolog concern studi univ whole histor astronomi wa concern classif descript phenomena sky astrophi attempt explain phenomena differ use physic law today distinct ha mostli disappear term astronom astrophysicist i
1594127	Amoeboid	734	5693	amoeboid amoeboid amoeboid amoeboid foraminiferan tepida amoeboid singl cell life form charact irregular shape amoeboid ba often use interchang even biologist especi refer creatur move use pseudopodia refer amoeba amoeba amoeboid gener rather specif genu amoeba genu amoeba amoeboid gener deriv name ancient greek word chang structur amoeboid move use pseudopodia bulg cytoplasm amoeba breath use entir cell membran constantli immer water excess water cross cytosol amoeba contractil vacuol expel exc
543044336	ASCII	5584	33862	ascii ascii ascii ascii chart ascii 1972 printer manual american standard code inform interchang ascii charact encod scheme origin base english alphabet ascii code repr text comput commun equip devic use text modern charact encod scheme base ascii though support mani addit charact ascii develop telegraph code first commerci use wa seven bit teleprint code promot bell data servic work ascii standard began octob 6 1960 first meet american standard associ asa x3 2 subcommitt first edit standard wa 
11555324	Animation	2841	17122	anim anim anim anim file animexample3edit png bounc ball anim consist six frame file animexampl gif thi anim move 10 frame per second anim rapid display sequenc imag creat illu movement common method present anim motion pictur video program although method thi type present usual accomplish camera projector comput view screen rapidli cycl imag sequenc anim made either hand render art comput gener imageri three dimen object e g puppet clay figur combin techniqu posit object ani particular imag rel
160806	Apollo	7778	47996	apollo apollo apollo apollo apollo attic ionic homer greek apol n gen doric apel n arcadocypriot apeil n aeolic aploun one import complex olympian deiti ancient greek roman religion greek roman mytholog greco roman neopagan ideal kouro beardless athlet youth apollo ha variou recogn god light sun truth propheci heal plagu music poetri apollo son zeu leto ha twin sister chast huntress artemi apollo known greek influenc etruscan mytholog apulu patron delphi pythian apollo apollo wa oracular god pro
16460235	Andre Agassi	3987	23142	andr agassi andr agassi andr agassi andr agassi andr kirk agassi born april 29 1970 la vega nevada american retir profess tenni player former world 1 wa one game domin player earli 1990 mid 2000 gener consid critic fellow player one greatest tenni player time star pay tribut agassi bbc retriev may 15 2010 agassi ha call best servic return histori game reed shotmak men return serv yahoo sport retriev may 15 2010 adject tangl net new york time retriev may 15 2010 sampra agassi begun fight lo angel
16479958	Austroasiatic languages	1280	8458	austroasiat languag austroasiat languag austroasiat languag austroasiat languag austroasiat austro asiat languag recent classif synonym mon khmer bradley 2012 note mk wider sen includ munda languag eastern south asia also known austroasiat larg languag famili contin southeast asia also scatter throughout india bangladesh southern border china name austroasiat come latin word south asia henc south asia among languag onli khmer vietnam mon long establish record histori onli vietnam khmer offici st
544918788	Afroasiatic languages	3300	20668	afroasiat languag afroasiat languag afroasiat languag afroasiat languag afroasiat afro asiat also known hamito semit chamito semit larg languag famili includ 300 live languag ethnologu famili tree afroasiat languag afroasiat languag spoken predominantli middl east north africa horn africa part sahel 300 million peopl speak afroasiat languag daniel nanjira african foreign polici diplomaci antiqu 21st centuri abc clio 2010 wide spoken afroasiat languag arab includ literari arab spoken colloqui var
547423072	Andorra	2984	18908	andorra andorra andorra andorra andorran coat arm andorran parliament andorra offici princip andorra also call princip valley andorra funk wagnal encyclopedia 1991 landlock microst southwestern europ locat eastern pyren mountain border spain franc sixth smallest nation europ area estim popul 85 000 2012 capit andorra la vella highest capit citi europ elev abov sea level offici languag catalan although spanish portugu french also commonli spoken creat charter 988 present princip wa form 1278 know
547619405	Arithmetic mean	502	3064	arithmet mean arithmet mean arithmet mean arithmet mean mathemat statist arithmet mean simpli mean averag context clear central tendenc collect number taken sum number divid size collect collect often sampl space experi term arithmet mean prefer mathemat statist becau help distinguish mean geometr harmon mean addit mathemat statist arithmet mean use frequent field econom sociolog histori though use almost everi academ field extent exampl per capita gdp give approxim arithmet averag incom nation 
7304691	American Football Conference	698	4127	american footbal confer american footbal confer american footbal confer american footbal confer american footbal confer afc one two confer nation footbal leagu nfl thi confer counterpart nation footbal confer nfc current contain 16 team make 32 team nfl american footbal confer origin american footbal leagu afl nfl combin afl nfl merger 1970 ten afc team origin form afl three nfl team ad afc equal number franchi anoth three recent expan team one houston texan play market one afl found team known 
8624548	Animal Farm	3714	22856	anim farm anim farm anim farm anim farm anim farm allegor novel georg orwel publish england 17 august 1945 accord orwel book reflect event lead russian revolut 1917 stalin era soviet union bbc learn zone anim farm orwel democrat socialist whi write 1936 collect essay journal letter georg orwel volum 1 age like thi 1945 1950 p 23 penguin wa critic joseph stalin hostil moscow direct stalin especi hi experi nkvd spanish civil war orwel write hi review franz borkenau spanish cockpit time tide 31 jul
13286072	Amphibian	6873	45638	amphibian amphibian amphibian amphibian world smallest known vertebr u dime 17 9 nbsp mm scale amphibian ectotherm tetrapod vertebr class amphibia inhabit wide varieti habitat speci live within terrestri fossori arbor freshwat aquat ecosystem amphibian typic start larva live water speci develop behaviour adapt bypass thi young gener undergo metamorphosi larva gill adult air breath form lung amphibian use skin secondari respiratori surfac small terrestri salamand frog lack lung reli entir upon sk
11555324	Alaska	7672	47983	alaska alaska alaska alaska alaska state unit state situat northwest extrem north american contin intern boundari canada east arctic ocean north pacif ocean west south russia west across bere strait alaska largest state unit state area 4th least popul least den popul 50 unit state approxim half alaska 731 449 resid live within anchorag metropolitan area alaska economi domin oil natur ga fish industri ha resourc abund alaska wa purcha russia march 30 1867 7 2 nbsp million adjust inflat approxim t
692238	Agriculture	8368	52531	agricultur agricultur agricultur agricultur agricultur also call farm husbandri cultiv anim plant fungi life form food fiber biofuel product use sustain human life agricultur wa key develop rise sedentari human civil wherebi farm domest speci creat food surplu nurtur develop civil studi agricultur known agricultur scienc agricultur gener speak refer human activ although also observ certain speci ant termit word agricultur english adapt latin agricult ra ager field latin word lookup cult ra culti
1267919	Aldous Huxley	2856	17907	aldou huxley aldou huxley aldou huxley aldou huxley aldou leonard huxley 26 juli 1894 22 novemb 1963 wa english writer one promin member famou huxley famili best known hi novel includ brave new world wide rang output essay huxley also edit magazin oxford poetri publish short stori poetri travel write film stori script huxley spent later part hi life unit state live lo angel 1937 hi death aldou huxley wa humanist pacifist satirist wa latterli interest spiritu subject parapsycholog philosoph mysti
1750837	Algae	2517	16937	alga alga alga alga lineag alga accord endosymbiot event current unknown thi diagram taken onli gener guid repr parsimoni way explain three type endosymbiot origin plastid type includ endosymbiot event cyanobacteria red alga green alga lead hypothesi supergroup archaeplastida chromalveolata cabozoa respect howev monophyli cabozoa ha refut monophyli archaeplastida chromalveolata current strongli challeng endosymbiot event note dot line alga singular alga latin seaw veri larg diver group simpl typ
35184	Analysis of variance	4226	27013	analysi varianc analysi varianc analysi varianc analysi varianc statist analysi varianc anova collect statist model associ procedur observ varianc particular variabl partit compon attribut differ sourc variat simplest form anova provid statist test whether mean sever group equal therefor gener test two group multipl two sampl test would result increa chanc commit type error thi reason anova use compar three mean background terminolog anova particular form statist hypothesi test heavili use analy
13286072	Alkane	4482	26680	alkan alkan alkan alkan chemic structur methan simplest alkan alkan paraffin still use histor name alkan satur hydrocarbon consist onli hydrogen carbon atom bond singl bond carbon atom join cyclic structur instead form simpl chain gener chemic formula c n h 2n 2 alkan belong homolog seri organ compound member differ molecular mass 14 one carbon atom mass 12 two hydrogen atom collect mass 2 two main commerci sourc crude oil natur ga carbon atom ha 4 bond either c h c c bond hydrogen atom join car
547404844	Appellate procedure in the United States	2113	13288	appel procedur unit state appel procedur unit state appel procedur unit state appel procedur unit state unit state appel procedur appeal petit review case ha decid court law petit made higher court purpo overturn lower court deci court appeal washington d c specif procedur appeal includ even whether right appeal particular type deci vari greatli state state right file appeal also vari state state exampl new jersey constitut vest judici power suprem court superior court court limit jurisdict appe
13975403	Appellate court	493	3101	appel court appel court appel court appel court appel court commonli call appeal court court appeal american english appeal court british english court second instanc second instanc court ani court law empow hear appeal trial court lower tribun jurisdict court system divid least three level trial court initi hear case review evid testimoni determin fact case least one intermedi appel court suprem court court last resort primarili review deci intermedi court jurisdict suprem court jurisdict highe
288788	Arraignment	405	2597	arraign arraign arraign arraign arraign formal read crimin charg document presenc defend inform defend charg respon arraign accu expect enter plea accept plea vari among jurisdict gener includ guilti guilti peremptori plea plea bar set reason whi trial cannot proceed plea nolo contend contest alford plea allow circumst england wale northern ireland australia arraign first eleven stage crimin trial involv clerk court read indict defend ask whether plead guilti guilti charg feder court unit state 
7903804	America the Beautiful	1286	7753	america beauti america beauti america beauti america beauti commemor plaqu atop pike peak america beauti american patriot song lyric written katharin lee bate music wa compo church organist choirmast samuel ward bate origin wrote word poem pike peak first publish fourth juli edit church period congregationalist 1895 time poem wa titl america public ward origin written music materna hymn o mother dear jerusalem 1882 though wa first publish 1892 mckim note ward mail friend postcard state hymn comp
547869513	Assistive technology	1116	7421	assist technolog assist technolog assist technolog assist technolog hear aid assist technolog umbrella term includ assist adapt rehabilit devic peopl disabl also includ process use select locat use promot greater independ enabl peopl perform task formerli unabl accomplish great difficulti accomplish provid enhanc chang method interact technolog need accomplish task assist technolog adapt technolog term adapt technolog often use synonym assist technolog howev differ term assist technolog refer an
2051880	Abacus	2142	13187	abacu abacu abacu abacu chine abacu calcul tabl algorist abacist inaccur repr boethiu pythagora wa keen competit two introduct algebra europ 12th centuri triumph 16th carl b boyer histori mathemat pp252 253 wiley 1991 abacu plural abaci abacu also call count frame calcul tool use primarili part asia perform arithmet process today abaci often construct bamboo frame bead slide wire origin bean stone move groov sand tablet wood stone metal abacu wa use centuri befor adopt written modern numer syste
13286072	Acid	3042	17747	acid acid acid acid zinc typic metal react acid typic acid acid latin acidu ac re mean sour merriam webster onlin dictionari acid substanc react base commonli acid identifi tast sour react metal calcium base like sodium carbon aqueou acid ph 7 acid increa lower ph chemic substanc properti acid said acid common exampl acid includ acet acid vinegar sulfur acid use car batteri hydrochlor acid use stomach enzym tartar acid use bake three exampl show acid solut liquid solid gase hydrogen chlorid acid
16132726	Asphalt	2953	18877	asphalt asphalt asphalt asphalt natur asphalt bitumen dead sea refin asphalt bitumen univ queensland pitch drop experi demonstr asphalt bitumen asphalt also known bitumen sticki black highli viscou liquid semi solid form petroleum may found natur deposit may refin product substanc class pitch 20th centuri term asphaltum wa also use full text internet archiv archiv org primari use asphalt bitumen road construct use glue binder mix aggreg particl creat asphalt concret main use bitumin waterproof p
546763260	American National Standards Institute	1194	7746	american nation standard institut american nation standard institut american nation standard institut american nation standard institut american nation standard institut ansi privat non profit organ develop voluntari consensu standard product servic process system personnel unit state organ also coordin u standard intern standard american product use worldwid exampl standard ensur peopl camera find film need camera anywh around globe ansi accredit standard develop repr standard organ govern agen
11561890	Apollo 11	4324	26533	apollo 11 apollo 11 apollo 11 apollo 11 apollo 11 wa spaceflight land first human american neil armstrong buzz aldrin moon juli 20 1969 20 18 utc armstrong becam first step onto lunar surfac 6 hour later juli 21 02 56 utc armstrong spent two half hour outsid spacecraft aldrin slightli less togeth collect lunar materi return earth third member mission michael collin pilot command spacecraft alon lunar orbit armstrong aldrin return trip back earth launch saturn v rocket kennedi space center merrit
13517172	Apollo 8	4902	29316	apollo 8 apollo 8 apollo 8 apollo 8 apollo 8 second man mission unit state apollo space program wa launch decemb 21 1968 becam first man space craft leav earth orbit reach earth moon orbit return safe earth three astronaut crew command frank borman command modul pilot jame lovel lunar modul pilot william ander becam first human travel beyond low earth orbit first see earth whole planet first directli see far side moon 1968 mission third flight saturn nbsp v rocket first man launch saturn v wa al
5102871	Astronaut	2314	14541	astronaut astronaut astronaut astronaut astronaut bruce mccandless ii use challeng 1984 astronaut cosmonaut person train human spaceflight program command pilot serv crew member spacecraft gener reserv profess space travel term sometim appli anyon travel space includ scientist politician journalist tourist 2002 astronaut sponsor train exclu govern either militari civilian space agenc sub orbit flight privat fund spaceshipon 2004 new categori astronaut wa creat commerci astronaut definit criteria
